id,gw_name,deadline_time,highest_score,average_entry_score,most_selected,most_transferred_in,top_element,most_captained,most_vice_captained
1,Gameweek 1,2024-08-16 17:30:00+00:00,127.0,57,401.0,27.0,328.0,351.0,351.0
2,Gameweek 2,2024-08-24 10:00:00+00:00,154.0,69,401.0,594.0,177.0,351.0,401.0
3,Gameweek 3,2024-08-31 10:00:00+00:00,130.0,64,351.0,177.0,328.0,351.0,328.0
4,Gameweek 4,2024-09-14 10:00:00+00:00,120.0,51,351.0,129.0,185.0,351.0,328.0
5,Gameweek 5,2024-09-21 10:00:00+00:00,131.0,58,351.0,58.0,180.0,351.0,351.0
6,Gameweek 6,2024-09-28 10:00:00+00:00,142.0,50,351.0,327.0,182.0,351.0,328.0
7,Gameweek 7,2024-10-05 10:00:00+00:00,130.0,46,351.0,182.0,512.0,351.0,328.0
8,Gameweek 8,2024-10-19 10:00:00+00:00,,0,,,,,
9,Gameweek 9,2024-10-25 17:30:00+00:00,,0,,,,,
10,Gameweek 10,2024-11-02 11:00:00+00:00,,0,,,,,
11,Gameweek 11,2024-11-09 13:30:00+00:00,,0,,,,,
12,Gameweek 12,2024-11-23 11:00:00+00:00,,0,,,,,
13,Gameweek 13,2024-11-29 18:30:00+00:00,,0,,,,,
14,Gameweek 14,2024-12-03 18:15:00+00:00,,0,,,,,
15,Gameweek 15,2024-12-07 13:30:00+00:00,,0,,,,,
16,Gameweek 16,2024-12-14 13:30:00+00:00,,0,,,,,
17,Gameweek 17,2024-12-21 13:30:00+00:00,,0,,,,,
18,Gameweek 18,2024-12-26 13:30:00+00:00,,0,,,,,
19,Gameweek 19,2024-12-29 13:30:00+00:00,,0,,,,,
20,Gameweek 20,2025-01-04 13:30:00+00:00,,0,,,,,
21,Gameweek 21,2025-01-14 18:15:00+00:00,,0,,,,,
22,Gameweek 22,2025-01-18 13:30:00+00:00,,0,,,,,
23,Gameweek 23,2025-01-25 13:30:00+00:00,,0,,,,,
24,Gameweek 24,2025-02-01 13:30:00+00:00,,0,,,,,
25,Gameweek 25,2025-02-15 13:30:00+00:00,,0,,,,,
26,Gameweek 26,2025-02-22 13:30:00+00:00,,0,,,,,
27,Gameweek 27,2025-02-25 18:15:00+00:00,,0,,,,,
28,Gameweek 28,2025-03-08 13:30:00+00:00,,0,,,,,
29,Gameweek 29,2025-03-15 13:30:00+00:00,,0,,,,,
30,Gameweek 30,2025-04-01 17:15:00+00:00,,0,,,,,
31,Gameweek 31,2025-04-05 12:30:00+00:00,,0,,,,,
32,Gameweek 32,2025-04-12 12:30:00+00:00,,0,,,,,
33,Gameweek 33,2025-04-19 12:30:00+00:00,,0,,,,,
34,Gameweek 34,2025-04-26 12:30:00+00:00,,0,,,,,
35,Gameweek 35,2025-05-03 12:30:00+00:00,,0,,,,,
36,Gameweek 36,2025-05-10 12:30:00+00:00,,0,,,,,
37,Gameweek 37,2025-05-18 12:30:00+00:00,,0,,,,,
38,Gameweek 38,2025-05-25 13:30:00+00:00,,0,,,,,
